"";"element_id";"sentence_id";"word_count";"sentiment"
"499";313;1;8;0,176776695296637
"500";313;2;8;0
"501";313;3;5;0,223606797749979
"502";313;4;1;0
"503";314;1;1;0,5
"504";314;2;7;0
"505";315;1;50;0
"506";316;1;20;0,0894427190999916
"507";317;1;17;0
"508";318;1;49;0
"509";319;1;7;0
"510";320;1;17;0
"511";321;1;5;0,268328157299975
"512";321;2;5;0
"513";322;1;50;0
"514";323;1;5;0
"515";323;2;16;0,36
"516";324;1;22;0,383761289440099
"517";325;1;12;0
"518";325;2;1;0
"519";326;1;5;0
"520";326;2;12;0
"521";327;1;7;0
"522";327;2;1;0
"523";328;1;10;-0,553398590529466
"524";328;2;14;0,267261241912424
"525";329;1;14;0
"526";329;2;9;0
"527";330;1;6;0,32659863237109
"528";330;2;1;0
"529";331;1;12;0,23094010767585
"530";331;2;15;0,193649167310371
"531";332;1;19;0
"532";333;1;9;0,3
"533";333;2;20;-0,279508497187474
"534";334;1;8;0
"535";335;1;7;0
"536";336;1;62;0
"537";337;1;112;0
"538";338;1;24;0,163299316185545
"539";339;1;4;0,25
"540";339;2;6;0,32659863237109
"541";339;3;7;0
"542";339;4;10;0
"543";340;1;7;0
"544";340;2;6;0
"545";340;3;6;0
"546";341;1;10;-0,126491106406735
"547";341;2;2;0
"548";342;1;64;0
"549";343;1;16;0
"550";343;2;9;-0,25
"551";344;1;2;0
"552";344;2;11;0,150755672288882
"553";345;1;13;0
"554";346;1;14;-0,0935414346693485
"555";346;2;11;0
"556";347;1;23;0,531711755845541
"557";348;1;7;-0,0944911182523068
"558";348;2;8;0
"559";349;1;19;0
"560";349;2;9;0,25
"561";350;1;54;0
"562";351;1;14;-0,0801783725737273
"563";351;2;8;0,459619407771256
"564";352;1;3;0,461880215351701
"565";352;2;5;0
"566";353;1;9;0
"567";354;1;34;0
"568";355;1;28;0,396862696659689
"569";356;1;12;0
"570";357;1;13;0,124807544150677
"571";357;2;6;0,734846922834954
"572";357;3;2;0
"573";358;1;81;0
"574";359;1;6;0
"575";359;2;17;0
"576";360;1;19;0,0114707866935281
"577";360;2;5;0
